10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Starting the loops on the files... | <module> (l. 356)
10-13 17:18:02 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 1 of 2 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:15 | oet          | WARNING  | build_cluster_mask took 12 s (for (array([[ True,  Tru..., {'max_distance_km': ...) | timed_func (l. 398)
10-13 17:18:15 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 1 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:16 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 1 of 2 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:17 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: Omon | <module> (l. 382)
10-13 17:18:17 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: sos | <module> (l. 388)
10-13 17:18:17 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | sos variable is not available | <module> (l. 495)
10-13 17:18:17 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: tos | <module> (l. 388)
10-13 17:18:17 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:18:17 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20210416 | <module> (l. 397)
10-13 17:18:31 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | The piControl run does not contain the requested variable. | <module> (l. 489)
10-13 17:18:31 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Run r2i1p1f1 is not available | <module> (l. 500)
10-13 17:18:31 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | SCENARIO: ssp245 | <module> (l. 375)
10-13 17:18:31 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | RUN: r1i1p1f1 | <module> (l. 379)
10-13 17:18:31 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: SImon | <module> (l. 382)
10-13 17:18:31 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: siconc | <module> (l. 388)
10-13 17:18:31 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:18:31 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20201124 | <module> (l. 397)
/work/users/lembo/miniconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4737: UserWarning: Warning: 'partition' will ignore the 'mask' of the MaskedArray.
  arr.partition(
10-13 17:18:44 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 1 of 18 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:45 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 2 of 18 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:46 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 11 of 18 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:46 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 12 of 18 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:48 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 1 of 9 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:48 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 2 of 9 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:49 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 6 of 9 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:50 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 7 of 9 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:53 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 6 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:53 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 3 of 6 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:54 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 1 of 10 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:55 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 2 of 10 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:56 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 6 of 10 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:56 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 7 of 10 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:18:57 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: Amon | <module> (l. 382)
10-13 17:18:57 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: tas | <module> (l. 388)
10-13 17:18:57 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:18:57 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20201124 | <module> (l. 397)
/work/users/lembo/miniconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4737: UserWarning: Warning: 'partition' will ignore the 'mask' of the MaskedArray.
  arr.partition(
10-13 17:19:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 12 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:25 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 2 of 12 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:26 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 7 of 12 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:26 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 8 of 12 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:28 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 2 of 13 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:29 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 6 of 13 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:29 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 7 of 13 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:30 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 10 of 13 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:44 | oet          | WARNING  | build_cluster_mask took 13 s (for (array([[ True,  Tru..., {'max_distance_km': ...) | timed_func (l. 398)
10-13 17:19:44 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 1 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:45 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 2 of 9 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:45 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 4 of 9 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:46 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 5 of 9 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:19:47 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: Omon | <module> (l. 382)
10-13 17:19:47 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: sos | <module> (l. 388)
10-13 17:19:47 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | sos variable is not available | <module> (l. 495)
10-13 17:19:47 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: tos | <module> (l. 388)
10-13 17:19:47 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:19:47 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20210416 | <module> (l. 397)
10-13 17:20:01 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | The piControl run does not contain the requested variable. | <module> (l. 489)
10-13 17:20:01 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Run r2i1p1f1 is not available | <module> (l. 500)
10-13 17:20:01 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | SCENARIO: ssp126 | <module> (l. 375)
10-13 17:20:01 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | RUN: r1i1p1f1 | <module> (l. 379)
10-13 17:20:01 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: SImon | <module> (l. 382)
10-13 17:20:01 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: siconc | <module> (l. 388)
10-13 17:20:01 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:20:01 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20201124 | <module> (l. 397)
/work/users/lembo/miniconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4737: UserWarning: Warning: 'partition' will ignore the 'mask' of the MaskedArray.
  arr.partition(
10-13 17:20:15 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 1 of 8 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:20:15 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 7 of 8 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:20:17 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 1 of 10 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:20:17 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 7 of 10 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:20:20 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 7 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:20:21 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 2 of 7 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:20:22 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 5 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:20:23 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 4 of 5 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:20:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: Amon | <module> (l. 382)
10-13 17:20:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: tas | <module> (l. 388)
10-13 17:20:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:20:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20201124 | <module> (l. 397)
/work/users/lembo/miniconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4737: UserWarning: Warning: 'partition' will ignore the 'mask' of the MaskedArray.
  arr.partition(
10-13 17:20:51 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 1 of 4 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:20:53 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 3 of 5 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:20:53 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 4 of 5 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:21:06 | oet          | WARNING  | build_cluster_mask took 12 s (for (array([[ True,  Tru..., {'max_distance_km': ...) | timed_func (l. 398)
10-13 17:21:06 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 1 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:21:08 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 2 of 4 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:21:08 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 3 of 4 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:21:09 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: Omon | <module> (l. 382)
10-13 17:21:09 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: sos | <module> (l. 388)
10-13 17:21:09 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | sos variable is not available | <module> (l. 495)
10-13 17:21:09 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: tos | <module> (l. 388)
10-13 17:21:09 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:21:09 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20210416 | <module> (l. 397)
10-13 17:21:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | The piControl run does not contain the requested variable. | <module> (l. 489)
10-13 17:21:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Run r2i1p1f1 is not available | <module> (l. 500)
10-13 17:21:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | MODEL GROUP: BCC | <module> (l. 364)
10-13 17:21:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | MODEL: BCC-CSM2-MR | <module> (l. 367)
10-13 17:21:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | In MODEL DIR: ['ssp370', 'ssp585', 'ssp245', 'ssp126'] | <module> (l. 370)
10-13 17:21:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | SCENARIO: ssp585 | <module> (l. 375)
10-13 17:21:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | RUN: r1i1p1f1 | <module> (l. 379)
10-13 17:21:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: SImon | <module> (l. 382)
10-13 17:21:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: siconc | <module> (l. 388)
10-13 17:21:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:21:24 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20200219 | <module> (l. 397)
/work/users/lembo/miniconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4737: UserWarning: Warning: 'partition' will ignore the 'mask' of the MaskedArray.
  arr.partition(
10-13 17:21:57 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 11 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:21:58 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 4 of 11 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:21:59 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 8 of 11 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:21:59 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 9 of 11 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:00 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 15 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:01 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 1 of 15 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:02 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 11 of 15 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 13 of 15 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:05 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 6 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:06 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 3 of 6 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:07 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 10 of 14 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:08 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 11 of 14 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:08 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: Amon | <module> (l. 382)
10-13 17:22:08 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: tas | <module> (l. 388)
10-13 17:22:08 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:22:08 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20190314 | <module> (l. 397)
/work/users/lembo/miniconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4737: UserWarning: Warning: 'partition' will ignore the 'mask' of the MaskedArray.
  arr.partition(
10-13 17:22:30 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 12 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:31 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 4 of 12 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:32 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 7 of 12 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:33 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 10 of 12 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:34 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 13 of 19 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:35 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 15 of 19 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:47 | oet          | WARNING  | build_cluster_mask took 12 s (for (array([[ True,  Tru..., {'max_distance_km': ...) | timed_func (l. 398)
10-13 17:22:47 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 2 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:48 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 8 of 10 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:22:49 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: Omon | <module> (l. 382)
10-13 17:22:49 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: sos | <module> (l. 388)
10-13 17:22:49 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:22:49 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20190319 | <module> (l. 397)
/work/users/lembo/miniconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4737: UserWarning: Warning: 'partition' will ignore the 'mask' of the MaskedArray.
  arr.partition(
10-13 17:23:15 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 20 of 28 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:23:16 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 21 of 28 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:23:16 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 23 of 28 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:23:17 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 11 of 27 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:23:18 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 21 of 27 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
